Title,Author,Goodreads Rating
Dance with dragons,George R R Martin,4.32
A feast for Crows,George R R Martin,4.12
Only time will tell,Jeffery Archer,4.07
At first sight,Nicholas Sparks,3.79
Twelve Red Herrings,Jeffery Archer,3.75
Madagascar-Movie Novel,-,3.54
Jataka Tales - Jackal Stories,Amar Chitra Katha,3.97
To Cut A Long Story Short,Jeffery Archer,3.74
A Company Of Swans,Eva Ibbotson,3.98
General Knowledge,Sri Radhkrishna Prakashna,3.52
English Composition For Junior Classes,H&C,0
A Book Of English Idioms,V. H. Collins,3.89
The Naked Face,Sidney Seldon,3.52
After the Darkness,Sidney Seldon,3.69
And thereby hangs a tale,Jeffrey Archer,3.69
The Memory Keeper's Daughter,Kim Edwards,3.65
Five point someone,Chetan Bhagat,3.43
Homecoming,Bernard Schlink,4.04
The Perks of being a Wallflower,Stepehen Chbosky,4.2
How to interpret your dreams,,4.67
The power of the possuble,Auriela McCarthy,3.62
A study in scarlet and the sign of four(Sherlock Holmes),Sir Arthur Conan Doyle,4.51
The Secret,Rhonda Byrne,4.13
Puzzles to puzzle you,Shakuntala Devi,3.94
Invincible thinking,Ryuho Okawa,3.33
Classic Short Stories,Leo Tolstoy and others,3.74
Facts and Figures of Number,,4
Check Your Own I.Q.,H.J.Eysenck,3.62
Better eyesight without glasses,"W.H.Bates, M.D.",3.61
Lord of the Rings,J.R Tolkien,4.49
The 3 mistakes of my life,Chetan bhagat,2.99
One night @ the call center,Chetan bhagat,2.49
"The Ghost, Sacrifice, The Man in the Picture, Power Play",Select Editions RD,3.6
Wuthering heights,Emily Bronte,3.84
Animal farm,George Orwell,3.91
Picture of Dorian gray,Oscar Wilde,4.07
The Old man And The Sea,Hemingway,3.75
Pollution,N. Seshagiri,4.05
The 5 Find Outers - The mystery of Banshee Towers,Enid Blyton,3.99
Eight O' Clock tales,Enid Blyton,3.79
Children's book of Flags,-,3.85
Nancy Drew and The Treasure in royal tower,Carolyn keene,3.9
The Saddle Club- Horse talk,Bonnie Bryant,3.76
The Return of Tarzan,Edgar Rice Burroughs,3.81
Vivekananda speaks to you,-,4.64
Nancy Drew and Hardy boys Super Sleuths,Carolyn keene and franklin Dixon,3.66
The Naughtiest girl - is a monitor,Enid Blyton,4
